"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/22/2019","57","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/23/2019","40","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/24/2019","52","PM10","VILLAGE HALL","17-031-1016","AQS"
"09/25/2019","41","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/26/2019","40","Ozone","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/27/2019","40","Ozone","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/28/2019","35","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/29/2019","47","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"09/30/2019","58","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"10/01/2019","59","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/02/2019","35","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"10/03/2019","38","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"10/04/2019","33","Ozone","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"10/05/2019","36","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"10/06/2019","37","Ozone","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"10/07/2019","43","NO2","IEPA TRAILER","17-031-3103","AQS"
"10/08/2019","52","NO2","IEPA TRAILER","17-031-3103","AQS"
"10/09/2019","55","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"10/10/2019","54","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/11/2019","37","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"10/12/2019","40","Ozone","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"10/13/2019","36","Ozone","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"10/14/2019","36","NO2","IEPA TRAILER","17-031-3103","AQS"
"10/15/2019","48","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"10/16/2019","42","NO2","IEPA TRAILER","17-031-3103","AQS"
"10/17/2019","34","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"10/18/2019","53","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/19/2019","52","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/20/2019","62","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"10/21/2019","52","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/22/2019","35","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/23/2019","44","PM10","VILLAGE HALL","17-031-1016","AQS"
"10/24/2019","35","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/25/2019","54","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"10/26/2019","54","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/27/2019","52","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/28/2019","56","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/29/2019","37","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"10/30/2019","32","Ozone","WATER PLANT","17-031-7002","AQS"
"10/31/2019","31","NO2","IEPA TRAILER","17-031-3103","AQS"
"11/01/2019","44","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"11/02/2019","58","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"11/03/2019","27","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/04/2019","37","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"11/05/2019","56","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"11/06/2019","43","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"11/07/2019","29","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"11/08/2019","39","NO2","IEPA TRAILER","17-031-3103","AQS"
"11/09/2019","48","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"11/10/2019","58","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/11/2019","29","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"11/12/2019","37","NO2","Kennedy Near Road 2","17-031-0219","AQS"
"11/13/2019","42","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"11/14/2019","65","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"11/15/2019","76","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"11/16/2019","69","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"11/17/2019","67","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"11/18/2019","69","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/19/2019","71","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/20/2019","73","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/21/2019","57","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/22/2019","41","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/23/2019","76","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"11/24/2019","55","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/25/2019","64","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/26/2019","67","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"11/27/2019","45","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/28/2019","24","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/29/2019","57","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"11/30/2019","60","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"12/01/2019","44","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"12/02/2019","33","NO2","IEPA TRAILER","17-031-3103","AQS"
"12/03/2019","44","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"12/04/2019","38","NO2","IEPA TRAILER","17-031-3103","AQS"
"12/05/2019","55","PM2.5","VILLAGE HALL","17-031-1016","AQS"
"12/06/2019","45","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/07/2019","53","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/08/2019","69","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"12/09/2019","53","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS"
